f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,label,source_type
0.0,1.0,0.0,0.0,0.0,0.0,0.8069987297058105,0.1582617163658142,-0.659375011920929,-0.24166665971279144,0.0,1.0,0.0,0.0,0.0,0.0,0.8185315728187561,0.11489257961511612,-0.22812500596046448,-0.38749998807907104,0.0,1.0,0.0,0.0,0.0,0.0,0.4255608022212982,0.2807324230670929,0.578125,0.28333333134651184,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,MOVE_TO_CHAIR,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.8787409663200378,0.16788411140441895,-0.6656249761581421,-0.10000000149011612,0.0,0.0,0.0,0.0,0.0,1.0,0.3314083218574524,0.21495117247104645,0.671875,-0.07500000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.8188996315002441,0.21445313096046448,-0.578125,-0.07916666567325592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.8227130174636841,0.2645280063152313,-0.265625,0.09583333134651184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.816412627696991,0.2612760365009308,-0.05312500149011612,0.1458333283662796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.8426612019538879,0.3052278757095337,0.375,0.26249998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.6323777437210083,0.23257161676883698,0.59375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.7856430411338806,0.039563801139593124,-0.4749999940395355,-0.7541666626930237,0.0,0.0,0.0,0.0,0.0,1.0,0.32246148586273193,0.03144531324505806,-0.8218749761581421,-0.7541666626930237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.8590132594108582,0.027233073487877846,-0.5562499761581421,-0.8041666746139526,0.0,0.0,0.0,0.0,0.0,1.0,0.8148213624954224,0.03453125059604645,0.578125,-0.7833333611488342,0.0,0.0,0.0,0.0,0.0,1.0,0.2926751673221588,0.059296876192092896,-0.03750000149011612,-0.8458333611488342,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.7989451289176941,0.022955728694796562,0.5062500238418579,-0.8291666507720947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.9346083402633667,0.07532551884651184,-0.796875,-0.17499999701976776,0.0,0.0,0.0,0.0,0.0,1.0,0.5240879654884338,0.08714843541383743,-0.41874998807907104,-0.5333333611488342,0.0,0.0,0.0,0.0,0.0,1.0,0.2693979740142822,0.15778645873069763,-0.7406250238418579,-0.36250001192092896,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.5669465661048889,0.06562499701976776,-0.7562500238418579,-0.36666667461395264,0.0,0.0,0.0,0.0,0.0,1.0,0.9224752187728882,0.13350586593151093,-0.421875,0.008333333767950535,0.0,0.0,0.0,0.0,0.0,1.0,0.7418229579925537,0.0930989608168602,0.3125,-0.2874999940395355,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.5529360771179199,0.036901041865348816,-0.8374999761581421,0.6833333373069763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,0.0,0.0,0.0,0.0,1.0,0.5800231695175171,0.879443347454071,-0.09375,-0.01666666753590107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.8603218793869019,0.2688802182674408,0.07187499850988388,-0.05833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,1.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.8892120122909546,0.5645507574081421,-0.2718749940395355,-0.11666666716337204,0.0,1.0,0.0,0.0,0.0,0.0,0.497055321931839,0.11178385466337204,0.26249998807907104,-0.5791666507720947,0.0,1.0,0.0,0.0,0.0,0.0,0.4798166751861572,0.07419271022081375,0.7562500238418579,-0.012500000186264515,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
0.0,1.0,0.0,0.0,0.0,0.0,0.8847189545631409,0.6073405146598816,-0.29374998807907104,-0.0625,0.0,1.0,0.0,0.0,0.0,0.0,0.6627335548400879,0.07618815451860428,0.753125011920929,0.012500000186264515,0.0,1.0,0.0,0.0,0.0,0.0,0.5932343602180481,0.11894531548023224,0.24062499403953552,-0.5625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,EXPLORE,autolabel_video
